Model,K,n_params_core,n_params_with_latents,train_loglik,test_loglik,AIC_test,BIC_test
Bayesian-Linear,1,4,4,-7233.9052734375,-1700.8243408203125,3409.648681640625,3432.3266626446557
Bayesian-Linear,2,24,24,-5821.64453125,-1311.7752685546875,2671.550537109375,2807.6184231335596
Bayesian-Linear,3,44,44,-5395.7890625,-1274.7369384765625,2637.473876953125,2886.9316679974636
Bayesian-Linear,4,64,64,-5047.6845703125,-1162.1591796875,2452.318359375,2815.1660554394925
Bayesian-Linear,5,84,84,-4938.4306640625,-1155.2052001953125,2478.410400390625,2954.6480014752715
Bayesian-Linear,6,104,104,-4864.5048828125,-1136.82470703125,2481.6494140625,3071.2769201673
Bayesian-Linear,7,124,124,-4835.4599609375,-1113.26904296875,2474.5380859375,3177.555497062454
GP-LCCM,1,7,957,-7233.7548828125,-1700.84130859375,3415.6826171875,3455.369083944554
GP-LCCM,2,14,1914,-6015.87255859375,-1392.123291015625,2812.24658203125,2891.619515545358
GP-LCCM,3,21,2871,-5417.57275390625,-1252.6324462890625,2547.264892578125,2666.3242928492864
GP-LCCM,4,28,3828,-5317.5478515625,-1234.851318359375,2525.70263671875,2684.4485037469653
GP-LCCM,5,35,4785,-5126.373046875,-1186.172607421875,2442.34521484375,2640.7775486290193
GP-LCCM,6,42,5742,-5080.81005859375,-1178.423583984375,2440.84716796875,2678.9659685110732
GP-LCCM,7,49,6699,-5015.9384765625,-1166.976806640625,2431.95361328125,2709.758880580627
