K,attribute,class,value
2,ASC (Train),Class 1,0.0
2,ASC (Train),Class 2,0.0
2,ASC (Car),Class 1,-1.4615213871002197
2,ASC (Car),Class 2,1.8514090776443481
2,Travel Time,Class 1,-2.2752363681793213
2,Travel Time,Class 2,-0.9611818790435791
2,Travel Cost,Class 1,-0.11250311881303787
2,Travel Cost,Class 2,-5.666007995605469
2,Class Share,Class 1,0.49969443678855896
2,Class Share,Class 2,0.5003055334091187
2,VOT (CHF/min),Class 1,252.3624006422819
2,VOT (CHF/min),Class 2,2.1168548628972497
3,ASC (Train),Class 1,0.0
3,ASC (Train),Class 2,0.0
3,ASC (Train),Class 3,0.0
3,ASC (Car),Class 1,2.806365489959717
3,ASC (Car),Class 2,1.2173573970794678
3,ASC (Car),Class 3,-2.2968859672546387
3,Travel Time,Class 1,-2.619424819946289
3,Travel Time,Class 2,-0.438435822725296
3,Travel Time,Class 3,-2.3768181800842285
3,Travel Cost,Class 1,-3.3595893383026123
3,Travel Cost,Class 2,-5.362729549407959
3,Travel Cost,Class 3,-0.25756242871284485
3,Class Share,Class 1,0.33026373386383057
3,Class Share,Class 2,0.332478791475296
3,Class Share,Class 3,0.3372575640678406
3,VOT (CHF/min),Class 1,9.72931882187343
3,VOT (CHF/min),Class 2,1.0201941457552621
3,VOT (CHF/min),Class 3,115.15323422716065
4,ASC (Train),Class 1,0.0
4,ASC (Train),Class 2,0.0
4,ASC (Train),Class 3,0.0
4,ASC (Train),Class 4,0.0
4,ASC (Car),Class 1,-1.626983642578125
4,ASC (Car),Class 2,2.7662181854248047
4,ASC (Car),Class 3,2.066223621368408
4,ASC (Car),Class 4,-0.8312647342681885
4,Travel Time,Class 1,-0.14315499365329742
4,Travel Time,Class 2,-1.674050211906433
4,Travel Time,Class 3,-3.1833243370056152
4,Travel Time,Class 4,-3.722559690475464
4,Travel Cost,Class 1,-0.08656740933656693
4,Travel Cost,Class 2,-5.5520920753479
4,Travel Cost,Class 3,-2.2234947681427
4,Travel Cost,Class 4,-0.05644495040178299
4,Class Share,Class 1,0.25165054202079773
4,Class Share,Class 2,0.2487516552209854
4,Class Share,Class 3,0.25012192130088806
4,Class Share,Class 4,0.2494761049747467
4,VOT (CHF/min),Class 1,20.63548936154435
4,VOT (CHF/min),Class 2,3.762482698725313
4,VOT (CHF/min),Class 3,17.865182982672646
4,VOT (CHF/min),Class 4,822.9610211491699
5,ASC (Train),Class 1,0.0
5,ASC (Train),Class 2,0.0
5,ASC (Train),Class 3,0.0
5,ASC (Train),Class 4,0.0
5,ASC (Train),Class 5,0.0
5,ASC (Car),Class 1,2.737370252609253
5,ASC (Car),Class 2,2.6602110862731934
5,ASC (Car),Class 3,-1.681018590927124
5,ASC (Car),Class 4,1.0669878721237183
5,ASC (Car),Class 5,-1.7394118309020996
5,Travel Time,Class 1,-2.8366663455963135
5,Travel Time,Class 2,-1.3387649059295654
5,Travel Time,Class 3,-3.6323556900024414
5,Travel Time,Class 4,-3.3758392333984375
5,Travel Time,Class 5,-0.14448903501033783
5,Travel Cost,Class 1,-4.149665355682373
5,Travel Cost,Class 2,-5.047304630279541
5,Travel Cost,Class 3,-0.08912966400384903
5,Travel Cost,Class 4,-1.6847010850906372
5,Travel Cost,Class 5,-0.10925451666116714
5,Class Share,Class 1,0.19879332184791565
5,Class Share,Class 2,0.19840016961097717
5,Class Share,Class 3,0.1987728774547577
5,Class Share,Class 4,0.20209288597106934
5,Class Share,Class 5,0.2019406259059906
5,VOT (CHF/min),Class 1,8.530173652107576
5,VOT (CHF/min),Class 2,3.3098437568003507
5,VOT (CHF/min),Class 3,508.5443001524864
5,VOT (CHF/min),Class 4,25.004696740569155
5,VOT (CHF/min),Class 5,16.502820719856278
6,ASC (Train),Class 1,0.0
6,ASC (Train),Class 2,0.0
6,ASC (Train),Class 3,0.0
6,ASC (Train),Class 4,0.0
6,ASC (Train),Class 5,0.0
6,ASC (Train),Class 6,0.0
6,ASC (Car),Class 1,3.063922882080078
6,ASC (Car),Class 2,4.040961742401123
6,ASC (Car),Class 3,0.9438346028327942
6,ASC (Car),Class 4,-3.330887794494629
6,ASC (Car),Class 5,-1.8612093925476074
6,ASC (Car),Class 6,0.9255709052085876
6,Travel Time,Class 1,-3.927030563354492
6,Travel Time,Class 2,-2.268911123275757
6,Travel Time,Class 3,-0.4700774848461151
6,Travel Time,Class 4,-0.23514820635318756
6,Travel Time,Class 5,-3.6617398262023926
6,Travel Time,Class 6,-3.978377342224121
6,Travel Cost,Class 1,-2.9068520069122314
6,Travel Cost,Class 2,-2.562105894088745
6,Travel Cost,Class 3,-5.6254072189331055
6,Travel Cost,Class 4,-0.38731884956359863
6,Travel Cost,Class 5,-0.11096026003360748
6,Travel Cost,Class 6,-1.0580406188964844
6,Class Share,Class 1,0.1669897586107254
6,Class Share,Class 2,0.16520075500011444
6,Class Share,Class 3,0.16790319979190826
6,Class Share,Class 4,0.1669834852218628
6,Class Share,Class 5,0.16658027470111847
6,Class Share,Class 6,0.1663425713777542
6,VOT (CHF/min),Class 1,16.857922419332223
6,VOT (CHF/min),Class 2,11.05052979435883
6,VOT (CHF/min),Class 3,1.042745142513092
6,VOT (CHF/min),Class 4,7.575926077511337
6,VOT (CHF/min),Class 5,411.7965548501784
6,VOT (CHF/min),Class 6,46.92089884322218
7,ASC (Train),Class 1,0.0
7,ASC (Train),Class 2,0.0
7,ASC (Train),Class 3,0.0
7,ASC (Train),Class 4,0.0
7,ASC (Train),Class 5,0.0
7,ASC (Train),Class 6,0.0
7,ASC (Train),Class 7,0.0
7,ASC (Car),Class 1,-2.2300500869750977
7,ASC (Car),Class 2,-1.9642020463943481
7,ASC (Car),Class 3,2.7973992824554443
7,ASC (Car),Class 4,1.0195684432983398
7,ASC (Car),Class 5,2.2214837074279785
7,ASC (Car),Class 6,3.668260097503662
7,ASC (Car),Class 7,-0.06097545474767685
7,Travel Time,Class 1,-3.250565528869629
7,Travel Time,Class 2,-0.2974798083305359
7,Travel Time,Class 3,-4.240359306335449
7,Travel Time,Class 4,-3.0685534477233887
7,Travel Time,Class 5,-1.548277497291565
7,Travel Time,Class 6,-0.3161795735359192
7,Travel Time,Class 7,-3.9043400287628174
7,Travel Cost,Class 1,-0.1412031352519989
7,Travel Cost,Class 2,-0.11042440682649612
7,Travel Cost,Class 3,-3.1181845664978027
7,Travel Cost,Class 4,-1.345715045928955
7,Travel Cost,Class 5,-4.947378635406494
7,Travel Cost,Class 6,-3.1239991188049316
7,Travel Cost,Class 7,-0.11430170387029648
7,Class Share,Class 1,0.14161193370819092
7,Class Share,Class 2,0.14414404332637787
7,Class Share,Class 3,0.14403004944324493
7,Class Share,Class 4,0.1433822512626648
7,Class Share,Class 5,0.1412830352783203
7,Class Share,Class 6,0.14157220721244812
7,Class Share,Class 7,0.143976628780365
7,VOT (CHF/min),Class 1,287.2614027222374
7,VOT (CHF/min),Class 2,33.61670237552181
7,VOT (CHF/min),Class 3,16.969284524079868
7,VOT (CHF/min),Class 4,28.453996596631228
7,VOT (CHF/min),Class 5,3.905137622832153
7,VOT (CHF/min),Class 6,1.2629483731392823
7,VOT (CHF/min),Class 7,426.24335360482195
8,ASC (Train),Class 1,0.0
8,ASC (Train),Class 2,0.0
8,ASC (Train),Class 3,0.0
8,ASC (Train),Class 4,0.0
8,ASC (Train),Class 5,0.0
8,ASC (Train),Class 6,0.0
8,ASC (Train),Class 7,0.0
8,ASC (Train),Class 8,0.0
8,ASC (Car),Class 1,-0.9601802825927734
8,ASC (Car),Class 2,1.710253119468689
8,ASC (Car),Class 3,-2.3283634185791016
8,ASC (Car),Class 4,1.7684844732284546
8,ASC (Car),Class 5,3.175119400024414
8,ASC (Car),Class 6,3.849757432937622
8,ASC (Car),Class 7,-2.107797384262085
8,ASC (Car),Class 8,0.6102962493896484
8,Travel Time,Class 1,-3.7618398666381836
8,Travel Time,Class 2,-3.6980783939361572
8,Travel Time,Class 3,-0.30912959575653076
8,Travel Time,Class 4,-1.190036654472351
8,Travel Time,Class 5,-3.4088170528411865
8,Travel Time,Class 6,-0.3583630919456482
8,Travel Time,Class 7,-2.647307872772217
8,Travel Time,Class 8,-3.392700433731079
8,Travel Cost,Class 1,-0.11114621162414551
8,Travel Cost,Class 2,-1.821643590927124
8,Travel Cost,Class 3,-0.14323675632476807
8,Travel Cost,Class 4,-5.265726089477539
8,Travel Cost,Class 5,-3.4498610496520996
8,Travel Cost,Class 6,-2.5135748386383057
8,Travel Cost,Class 7,-0.1731061190366745
8,Travel Cost,Class 8,-0.7254072427749634
8,Class Share,Class 1,0.12427405267953873
8,Class Share,Class 2,0.1253649741411209
8,Class Share,Class 3,0.12496524304151535
8,Class Share,Class 4,0.1241404339671135
8,Class Share,Class 5,0.12478198111057281
8,Class Share,Class 6,0.12622125446796417
8,Class Share,Class 7,0.12465076893568039
8,Class Share,Class 8,0.12560102343559265
8,VOT (CHF/min),Class 1,422.3459473883094
8,VOT (CHF/min),Class 2,25.332345018430036
