dataset,ID,predicted_class,class_1_prob,class_2_prob
train,1.0,1,0.5128121972084045,0.48718777298927307
train,2.0,1,0.5066010355949402,0.49339890480041504
train,3.0,1,0.5031238198280334,0.49687620997428894
train,4.0,2,0.483744353055954,0.5162556171417236
train,5.0,2,0.49185022711753845,0.5081497430801392
train,6.0,2,0.49455249309539795,0.505447506904602
train,7.0,2,0.4959985315799713,0.5040014386177063
train,8.0,1,0.505149781703949,0.494850218296051
train,9.0,1,0.501019299030304,0.4989807605743408
train,10.0,1,0.509021520614624,0.4909784197807312
train,12.0,1,0.5154991745948792,0.48450079560279846
train,13.0,2,0.4965786635875702,0.5034212470054626
train,14.0,1,0.5038740038871765,0.4961259961128235
train,15.0,2,0.49277281761169434,0.5072272419929504
train,16.0,2,0.4960353672504425,0.5039646029472351
train,17.0,1,0.5070216059684753,0.4929784834384918
train,18.0,1,0.5124000310897827,0.4875999093055725
train,19.0,1,0.501291811466217,0.49870818853378296
train,20.0,1,0.5056689381599426,0.4943310022354126
train,21.0,2,0.4944513738155365,0.5055485963821411
train,22.0,1,0.5023108124732971,0.4976891875267029
train,23.0,2,0.4975362718105316,0.502463698387146
train,25.0,2,0.498169481754303,0.501830518245697
train,26.0,2,0.4861917495727539,0.5138082504272461
train,27.0,2,0.4981703460216522,0.5018296837806702
train,28.0,1,0.504982054233551,0.4950179159641266
train,29.0,1,0.5171387791633606,0.4828612208366394
train,30.0,2,0.49832773208618164,0.5016722679138184
train,31.0,2,0.49168041348457336,0.5083195567131042
train,33.0,2,0.49286311864852905,0.507136881351471
train,34.0,1,0.5101358890533447,0.4898641109466553
train,35.0,2,0.4947301149368286,0.5052698254585266
train,36.0,1,0.503405749797821,0.49659422039985657
train,37.0,1,0.5072991847991943,0.49270081520080566
train,38.0,2,0.479707807302475,0.5202922224998474
train,39.0,2,0.482337087392807,0.5176630020141602
train,40.0,2,0.49615320563316345,0.5038468241691589
train,41.0,1,0.504021942615509,0.49597808718681335
train,42.0,2,0.4887216091156006,0.5112784504890442
train,43.0,2,0.49389469623565674,0.5061053037643433
train,44.0,2,0.47810566425323486,0.5218943357467651
train,46.0,2,0.49391356110572815,0.5060864686965942
train,47.0,2,0.48976966738700867,0.5102303624153137
train,48.0,2,0.4977143108844757,0.5022855997085571
train,49.0,1,0.5009349584579468,0.4990650415420532
train,51.0,2,0.49874961376190186,0.5012504458427429
train,53.0,1,0.515923023223877,0.48407700657844543
train,54.0,2,0.4999500513076782,0.5000499486923218
train,56.0,1,0.5088748335838318,0.4911251962184906
train,58.0,1,0.5034236311912537,0.4965764284133911
train,61.0,1,0.5010773539543152,0.4989226460456848
train,62.0,1,0.5046968460083008,0.49530312418937683
train,63.0,1,0.5016080141067505,0.4983919560909271
train,65.0,2,0.49765968322753906,0.5023401975631714
train,66.0,1,0.5014939308166504,0.4985060691833496
train,67.0,2,0.48636358976364136,0.5136364698410034
train,68.0,2,0.48578914999961853,0.5142107605934143
train,69.0,2,0.495094895362854,0.504905104637146
train,70.0,1,0.5074741244316101,0.4925258755683899
train,72.0,2,0.4945071041584015,0.5054928660392761
train,73.0,1,0.5030537247657776,0.4969462752342224
train,74.0,2,0.4968978762626648,0.50310218334198
train,75.0,1,0.5098949670791626,0.4901049733161926
train,76.0,2,0.4960756301879883,0.5039243698120117
train,78.0,1,0.5041818022727966,0.495818167924881
train,79.0,1,0.5045998096466064,0.49540024995803833
train,80.0,2,0.4984188675880432,0.5015811324119568
train,81.0,1,0.5026254653930664,0.4973745346069336
train,83.0,1,0.5026596784591675,0.49734029173851013
train,85.0,1,0.5101557374000549,0.48984426259994507
train,86.0,1,0.5041941404342651,0.4958059787750244
train,88.0,1,0.5233423113822937,0.4766576588153839
train,90.0,1,0.5039212107658386,0.4960787892341614
train,91.0,1,0.5035260915756226,0.4964738190174103
train,92.0,2,0.4918670654296875,0.5081329345703125
train,93.0,1,0.517033576965332,0.48296645283699036
train,94.0,1,0.5206380486488342,0.47936195135116577
train,95.0,1,0.5196031332015991,0.48039689660072327
train,96.0,1,0.5192540287971497,0.48074600100517273
train,98.0,1,0.5002152323722839,0.4997847378253937
train,99.0,1,0.5138517618179321,0.48614829778671265
train,100.0,1,0.5060061812400818,0.493993878364563
train,101.0,2,0.4968244433403015,0.5031755566596985
train,103.0,1,0.5022011995315552,0.4977988004684448
train,104.0,1,0.509316623210907,0.4906834065914154
train,105.0,2,0.4955514669418335,0.5044484734535217
train,106.0,2,0.4854032099246979,0.5145968198776245
train,107.0,1,0.5018604397773743,0.4981395900249481
train,109.0,1,0.5128106474876404,0.487189382314682
train,111.0,2,0.49901631474494934,0.5009836554527283
train,112.0,2,0.4996802508831024,0.5003196597099304
train,113.0,2,0.49227073788642883,0.5077292323112488
train,115.0,2,0.49526843428611755,0.5047315955162048
train,116.0,1,0.500471293926239,0.4995287358760834
train,117.0,1,0.5041176676750183,0.4958823323249817
train,118.0,1,0.5073019862174988,0.49269795417785645
train,119.0,2,0.49802184104919434,0.5019781589508057
train,120.0,1,0.5052453875541687,0.4947545826435089
train,121.0,1,0.5045987367630005,0.4954012334346771
train,122.0,1,0.5081552267074585,0.4918447732925415
train,123.0,1,0.5079699754714966,0.4920300245285034
train,124.0,2,0.4941086173057556,0.5058913230895996
train,125.0,2,0.4952343702316284,0.5047655701637268
train,126.0,2,0.4931119680404663,0.5068880915641785
train,127.0,1,0.5068542957305908,0.49314579367637634
train,128.0,2,0.49999645352363586,0.5000036358833313
train,131.0,1,0.5067722201347351,0.4932277500629425
train,132.0,2,0.4964991807937622,0.5035008192062378
train,133.0,2,0.4888586401939392,0.5111413598060608
train,134.0,1,0.5017449855804443,0.4982549846172333
train,135.0,1,0.5042414665222168,0.4957585632801056
train,136.0,2,0.4939892888069153,0.5060107111930847
train,137.0,2,0.48887887597084045,0.5111211538314819
train,138.0,1,0.5053829550743103,0.4946170151233673
train,143.0,1,0.5023664236068726,0.4976334869861603
train,144.0,2,0.4997333586215973,0.5002666115760803
train,145.0,2,0.4991645812988281,0.5008353590965271
train,146.0,1,0.5032428503036499,0.4967571496963501
train,147.0,1,0.5049040913581848,0.49509596824645996
train,148.0,2,0.49987679719924927,0.5001232028007507
train,149.0,1,0.5165969729423523,0.4834030568599701
train,150.0,1,0.501656711101532,0.498343288898468
train,151.0,2,0.4930143356323242,0.506985604763031
train,152.0,1,0.504254937171936,0.49574509263038635
train,153.0,2,0.49051186442375183,0.509488046169281
train,154.0,2,0.4910571873188019,0.5089427828788757
train,155.0,1,0.5009816288948059,0.49901828169822693
train,158.0,2,0.49923911690711975,0.5007608532905579
train,160.0,1,0.5031766891479492,0.4968232810497284
train,161.0,1,0.5019930005073547,0.49800699949264526
train,162.0,1,0.5061325430870056,0.4938674867153168
train,163.0,1,0.5039712190628052,0.4960288405418396
train,165.0,2,0.48775389790534973,0.5122461318969727
train,166.0,2,0.49395671486854553,0.5060432553291321
train,167.0,1,0.5083423256874084,0.49165764451026917
train,168.0,1,0.5067207217216492,0.4932793080806732
train,170.0,2,0.4967153072357178,0.5032846331596375
train,172.0,2,0.4913040101528168,0.5086959600448608
train,173.0,2,0.4925591051578522,0.5074409246444702
train,174.0,2,0.49292823672294617,0.5070717930793762
train,176.0,1,0.5061615109443665,0.49383848905563354
train,177.0,1,0.5152955651283264,0.4847044348716736
train,178.0,2,0.4997529685497284,0.5002470016479492
train,179.0,2,0.4971999228000641,0.5028001070022583
train,180.0,1,0.5113039612770081,0.48869600892066956
train,181.0,1,0.5165398716926575,0.4834601581096649
train,182.0,1,0.5109293460845947,0.4890706539154053
train,183.0,1,0.5070216059684753,0.49297839403152466
train,184.0,2,0.4927748739719391,0.5072250962257385
train,185.0,2,0.4996250867843628,0.500374972820282
train,186.0,2,0.49646010994911194,0.5035398602485657
train,187.0,1,0.5277929306030273,0.47220703959465027
train,188.0,1,0.50960773229599,0.4903922975063324
train,189.0,1,0.502064049243927,0.4979359805583954
train,190.0,1,0.5181926488876343,0.4818073511123657
train,191.0,1,0.5167620778083801,0.4832379221916199
train,192.0,1,0.5045685172080994,0.49543148279190063
train,194.0,2,0.499921590089798,0.5000783801078796
train,195.0,2,0.4944714307785034,0.5055286288261414
train,196.0,1,0.507540225982666,0.49245980381965637
train,197.0,2,0.4988551437854767,0.5011449456214905
train,198.0,1,0.5113942623138428,0.4886057674884796
train,202.0,1,0.5108760595321655,0.4891239404678345
train,203.0,1,0.5152489542961121,0.4847510755062103
