dataset,ID,predicted_class,class_1_prob,class_2_prob,class_3_prob
train,1.0,3,0.34501659870147705,0.15501199662685394,0.49997133016586304
train,2.0,3,0.34371697902679443,0.15631546080112457,0.4999675750732422
train,3.0,3,0.3353763818740845,0.15529651939868927,0.5093271732330322
train,4.0,3,0.3412684500217438,0.15551646053791046,0.5032150149345398
train,5.0,3,0.3417874574661255,0.1557711362838745,0.5024412870407104
train,6.0,3,0.33704325556755066,0.15686747431755066,0.5060892701148987
train,7.0,3,0.3403249680995941,0.15626606345176697,0.5034089088439941
train,8.0,3,0.339189738035202,0.15394514799118042,0.5068650841712952
train,9.0,3,0.3386252522468567,0.15481321513652802,0.5065615177154541
train,10.0,3,0.3374860882759094,0.15589235723018646,0.5066215991973877
train,12.0,3,0.3430047035217285,0.15568989515304565,0.501305341720581
train,13.0,3,0.3422935903072357,0.15479369461536407,0.502912700176239
train,14.0,3,0.3399668335914612,0.15668322145938873,0.503349781036377
train,15.0,3,0.3433334231376648,0.15522035956382751,0.5014462471008301
train,16.0,3,0.3402496874332428,0.1558736264705658,0.5038766264915466
train,17.0,3,0.3423658311367035,0.15856796503067017,0.49906617403030396
train,18.0,3,0.34054097533226013,0.15644213557243347,0.5030168294906616
train,19.0,3,0.3394326865673065,0.15681514143943787,0.5037520527839661
train,20.0,3,0.34362074732780457,0.15737058222293854,0.4990086555480957
train,21.0,3,0.34049323201179504,0.15471868216991425,0.5047881007194519
train,22.0,3,0.3369739055633545,0.15271291136741638,0.510313093662262
train,23.0,3,0.3362081050872803,0.15688222646713257,0.5069097280502319
train,25.0,3,0.33932363986968994,0.1572176069021225,0.5034587979316711
train,26.0,3,0.3395184576511383,0.1529678851366043,0.5075136423110962
train,27.0,3,0.33984261751174927,0.15732043981552124,0.5028370022773743
train,28.0,3,0.342246413230896,0.15487782657146454,0.502875804901123
train,29.0,3,0.34006020426750183,0.15448138117790222,0.505458414554596
train,30.0,3,0.3373139202594757,0.1551104336977005,0.5075756311416626
train,31.0,3,0.3391285538673401,0.15512853860855103,0.5057428479194641
train,33.0,3,0.3433738350868225,0.15517809987068176,0.5014480352401733
train,34.0,3,0.3403322696685791,0.15501725673675537,0.5046505331993103
train,35.0,3,0.3421404957771301,0.15515460073947906,0.5027048587799072
train,36.0,3,0.33966684341430664,0.1565239280462265,0.5038092732429504
train,37.0,3,0.34627512097358704,0.15496860444545746,0.49875620007514954
train,38.0,3,0.3440457582473755,0.15566059947013855,0.5002935528755188
train,39.0,3,0.3364899754524231,0.15619350969791412,0.5073164105415344
train,40.0,3,0.337789386510849,0.15753579139709473,0.5046747922897339
train,41.0,3,0.3447043299674988,0.15516874194145203,0.5001268982887268
train,42.0,3,0.3429902195930481,0.1556260734796524,0.5013837218284607
train,43.0,3,0.3406315743923187,0.1579149216413498,0.5014535784721375
train,44.0,3,0.34011903405189514,0.15692269802093506,0.5029582381248474
train,46.0,3,0.34229961037635803,0.15567703545093536,0.5020232796669006
train,47.0,3,0.3424660563468933,0.15666024386882782,0.5008737444877625
train,48.0,3,0.34079840779304504,0.15476185083389282,0.5044397711753845
train,49.0,3,0.3419511020183563,0.15593983232975006,0.5021090507507324
train,51.0,3,0.3440937399864197,0.15717162191867828,0.498734712600708
train,53.0,3,0.34207823872566223,0.15554377436637878,0.5023780465126038
train,54.0,3,0.33879584074020386,0.15738844871520996,0.5038157105445862
train,56.0,3,0.3421420156955719,0.15727189183235168,0.5005860924720764
train,58.0,3,0.33899059891700745,0.15609771013259888,0.5049117207527161
train,61.0,3,0.3430577218532562,0.15609745681285858,0.5008448362350464
train,62.0,3,0.34002625942230225,0.15577051043510437,0.5042032599449158
train,63.0,3,0.3393176198005676,0.15607154369354248,0.5046108961105347
train,65.0,3,0.3414515554904938,0.15344810485839844,0.5051003098487854
train,66.0,3,0.34408363699913025,0.15458066761493683,0.5013357996940613
train,67.0,3,0.34129828214645386,0.1559857726097107,0.502716064453125
train,68.0,3,0.3436709940433502,0.15399561822414398,0.5023334622383118
train,69.0,3,0.3407934010028839,0.15413841605186462,0.5050681233406067
train,70.0,3,0.3427961468696594,0.1561785489320755,0.501025378704071
train,72.0,3,0.3412175178527832,0.15578651428222656,0.5029959678649902
train,73.0,3,0.33411866426467896,0.15601366758346558,0.509867787361145
train,74.0,3,0.34232714772224426,0.15567180514335632,0.5020009875297546
train,75.0,3,0.33976978063583374,0.15633927285671234,0.5038909316062927
train,76.0,3,0.3444876968860626,0.15586267411708832,0.4996495842933655
train,78.0,3,0.3416093587875366,0.15541976690292358,0.5029709339141846
train,79.0,3,0.3416559398174286,0.15733864903450012,0.5010054707527161
train,80.0,3,0.33837446570396423,0.15663032233715057,0.5049952268600464
train,81.0,3,0.3449500501155853,0.15434996783733368,0.5006999969482422
train,83.0,3,0.33778876066207886,0.15739303827285767,0.5048182606697083
train,85.0,3,0.3455374538898468,0.1533595770597458,0.5011030435562134
train,86.0,3,0.3402860462665558,0.1553301215171814,0.5043837428092957
train,88.0,3,0.3417453467845917,0.15605071187019348,0.5022040009498596
train,90.0,3,0.340965211391449,0.15459980070590973,0.5044350028038025
train,91.0,3,0.33984696865081787,0.156838059425354,0.5033150911331177
train,92.0,3,0.339665949344635,0.15571752190589905,0.5046164989471436
train,93.0,3,0.33886823058128357,0.15740177035331726,0.503730058670044
train,94.0,3,0.3403569161891937,0.1556665450334549,0.5039764642715454
train,95.0,3,0.34231653809547424,0.155873641371727,0.5018098950386047
train,96.0,3,0.3444758951663971,0.15463919937610626,0.5008849501609802
train,98.0,3,0.33739838004112244,0.15664568543434143,0.5059559941291809
train,99.0,3,0.3427855372428894,0.15475685894489288,0.5024575591087341
train,100.0,3,0.3409768044948578,0.15749111771583557,0.5015320777893066
train,101.0,3,0.34187549352645874,0.15761059522628784,0.5005138516426086
train,103.0,3,0.34121888875961304,0.1541057974100113,0.5046753287315369
train,104.0,3,0.34157535433769226,0.15329433977603912,0.5051302313804626
train,105.0,3,0.3408449590206146,0.1556043028831482,0.50355064868927
train,106.0,3,0.33989977836608887,0.1558627337217331,0.5042375922203064
train,107.0,3,0.3415933847427368,0.15679994225502014,0.5016067028045654
train,109.0,3,0.3399142920970917,0.15702274441719055,0.5030628442764282
train,111.0,3,0.34067344665527344,0.1556181013584137,0.50370854139328
train,112.0,3,0.33810824155807495,0.1560366451740265,0.505855143070221
train,113.0,3,0.33709925413131714,0.15728357434272766,0.505617082118988
train,115.0,3,0.34163612127304077,0.15436339378356934,0.5040004849433899
train,116.0,3,0.3404509127140045,0.15341557562351227,0.5061334371566772
train,117.0,3,0.34076860547065735,0.1556713581085205,0.503559947013855
train,118.0,3,0.33998116850852966,0.15789386630058289,0.5021249651908875
train,119.0,3,0.3395306169986725,0.15285331010818481,0.5076160430908203
train,120.0,3,0.3365648090839386,0.1558569222688675,0.5075783133506775
train,121.0,3,0.34136533737182617,0.15626777708530426,0.5023669600486755
train,122.0,3,0.342389315366745,0.15552973747253418,0.5020809769630432
train,123.0,3,0.33970925211906433,0.15349555015563965,0.5067952275276184
train,124.0,3,0.34139126539230347,0.15475764870643616,0.5038511753082275
train,125.0,3,0.34095558524131775,0.15740086138248444,0.5016435384750366
train,126.0,3,0.34033042192459106,0.15693534910678864,0.5027342438697815
train,127.0,3,0.33806926012039185,0.1533917486667633,0.5085389018058777
train,128.0,3,0.3420235514640808,0.1562672257423401,0.5017091631889343
train,131.0,3,0.3398071229457855,0.15426866710186005,0.5059242248535156
train,132.0,3,0.3410569727420807,0.15778158605098724,0.5011614561080933
train,133.0,3,0.33981797099113464,0.15621845424175262,0.5039635300636292
train,134.0,3,0.34459516406059265,0.15456654131412506,0.5008383393287659
train,135.0,3,0.3403644561767578,0.15485699474811554,0.5047786235809326
train,136.0,3,0.3398904502391815,0.15448373556137085,0.5056257247924805
